stage,Epithelial,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,2,0,2
72hpf,0.56,0,0,1.41,0,3.38
21Day,0,0,0.37,0.74,0.74,7.4
3Month,0,0.21,0,0,0,0
22Month,0.41,0,0,0,0,0.27
