stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Stromal
21Day,0,0,0,0.37,0,0,0
3Month,1.77,0,0.1,14.67,0.1,0,0.1
22Month,4.51,0.14,0,9.43,0,0.27,0
