stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Stromal
21Day,0.37,0,0,0.37,0,0,0
3Month,3.74,0.1,0.1,1.46,0.21,0,0.1
22Month,4.1,0.14,0.14,0.41,0.14,0.14,0
