stage,Endothelial,Epithelial,Germ,Immune,Muscle,Neuron,Stromal
24hpf,1,7,0,4,2,40,8
72hpf,0,0.28,0,0,0.28,1.97,0.28
21Day,0,0,0,0,0.37,1.11,0
3Month,0,0,0.42,0.1,0,0,0
22Month,0,0.55,0,0,0,0,0
