stage,Epithelial,Erythroid,Germ,Neuron,Stromal
24hpf,0,0,0,5,0
72hpf,0.56,0,0,1.69,0.28
21Day,0,0.37,0,0.37,0.37
3Month,0.21,0,2.18,0.1,0.21
