stage,Epithelial,Erythroid,Muscle,Other,Stromal
24hpf,0,0,0,0,1
72hpf,0.56,0,0.28,0,0.85
21Day,0,0,0,0,0.74
3Month,0.21,0,0,0,0.1
22Month,0.82,0.14,0,0.14,0
