stage,Epithelial,Erythroid,Immune,Neuron,Stromal
72hpf,0,0,0,0.28,0
21Day,5.92,0.37,1.11,0,0.37
3Month,1.66,0,0.42,0,0
22Month,2.32,0,0.96,0.14,0.27
