stage,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,3,0,1,9,0,0
72hpf,0,0,0,1.97,0,0.28
21Day,2.22,0.37,2.22,1.48,0,0.37
3Month,0.31,0,0.62,0,0,0.1
22Month,0.27,0,0,0,0.14,0
