stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other
24hpf,0,0,0,0,0,2,0
72hpf,0,0.28,0,0,0,0.85,0
21Day,0,1.11,0,0.37,0.37,1.11,0
22Month,0.14,0,0.14,0,0,0,0.14
