stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
24hpf,3,0,0,0,0,0,0,0
72hpf,1.41,0.56,0,0,5.64,4.79,0.28,0.85
21Day,1.11,0,0,0,3.33,0,0,1.85
3Month,0.94,0,0.62,0,0,0,0,0.1
22Month,1.64,0,0,0.27,0,0,0,0
