stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Secretory
24hpf,0,0,0,0,0,1,0
72hpf,2.25,0.28,0,0.56,0,1.13,0.28
21Day,1.85,0.37,0,0.74,0.74,1.48,0
3Month,0.31,0,0.52,0,0,0,0
