stage,Epithelial,Erythroid,Immune,Neuron,Secretory,Stromal
24hpf,1,0,0,2,0,0
72hpf,0,0.28,0,4.23,0,0.28
21Day,0,0,0.37,1.85,0.74,0
3Month,0.1,0,0.21,0,0,0
22Month,1.23,0,0,0,0,0.14
