stage,Endothelial,Epithelial,Immune,Neuron,Stromal
24hpf,0,0,0,12,0
72hpf,0.28,0,0.28,8.74,0.85
21Day,0,0.37,0,5.92,0
3Month,0,0.21,0,0,0
22Month,0,0.82,0,0,0
