stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
24hpf,0,0,0,0,1,0,0,0
3Month,0,2.29,0,1.04,4.37,0,0.1,0.21
22Month,0.14,41.13,0.14,0,5.47,0.14,0,0.27
