stage,Epithelial,Erythroid,Germ,Immune,Neuron,Stromal
21Day,0.74,0,0,0.37,0,0
3Month,2.7,0,0.21,0.83,0,0.31
22Month,2.87,0.14,0.27,0.68,0.14,0.27
