stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
24hpf,1,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0,0,2.82
21Day,0.74,0.74,0,0,0.37,0,4.81
3Month,0,4.68,0,0.52,0.52,0.1,0
22Month,0,0.55,0,0,0.14,0,0
