stage,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
24hpf,5,0,0,1,0,0
72hpf,1.41,0,0,0,0,0
21Day,2.22,0,0,0.74,0,0
3Month,22.26,0.1,0.83,0.21,0.31,0.42
