stage,Endothelial,Epithelial,Immune,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,2,0,0,0
72hpf,0,0,0,1.13,0,0,0.85
21Day,0,1.48,0,1.11,0,0.37,0.37
3Month,0,0.31,0,0,0,0,0.1
22Month,0.27,2.6,0.41,0.14,0.27,0,0.14
