stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,1,35,1,0,3,8,128,1,1,33
72hpf,1.13,100.62,5.36,0,1.41,16.91,215.61,1.13,5.64,253.95
21Day,0.37,63.64,5.18,0,3.7,28.49,100.64,0.37,11.1,189.43
3Month,1.35,55.34,0.52,1.98,8.53,3.02,8.43,0.62,13.52,43.38
22Month,1.5,66.41,0.41,5.19,6.42,2.19,7.38,2.87,13.94,15.03
