stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory
24hpf,0,3,0,0,0,5,0
72hpf,0,2.25,0,0.28,0,2.25,0
21Day,0,2.22,0,0,0.37,0.74,0
3Month,0.1,5.3,0.1,12.27,1.04,0.94,0.42
22Month,0,3.01,0,1.23,0.55,0.14,0
