stage,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron
72hpf,0.28,0.28,0,0,0,3.66
21Day,0,0.74,0,0,0,1.48
3Month,0.21,0,0.1,0.1,0.1,0.73
22Month,0.41,0,0,0,0,0.14
