stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory,Stromal
24hpf,0,0,0,0,1,0,1
72hpf,0,0,0,0,1.13,0,0
21Day,0.37,0.37,0,0,1.48,0,0.74
3Month,1.77,0,0.31,0.62,0.21,0.1,0
22Month,1.09,0,0.41,0,0,0,0
