stage,Epithelial,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,2,0,0,2,1,0,0
72hpf,0.28,0,0.56,20.57,0,0,0.56
21Day,0.37,0,0.74,6.66,0,0.37,1.48
3Month,0.31,0.1,0,0,0,0.1,0.31
22Month,3.96,0,0,0,0,0,0
