stage,Endothelial,Epithelial,Germ,Neuron,Stromal
24hpf,0,0,0,2,0
72hpf,0,4.23,0,1.69,0.56
21Day,0,2.59,0,1.11,0
3Month,0,0.1,0.21,0,0
22Month,0.27,0.68,0,0,0
