stage,Endothelial,Epithelial,Muscle,Neuron,Stromal
72hpf,0.56,0.28,0.28,1.97,8.17
21Day,0.37,0.37,0.37,1.48,1.48
3Month,0.1,0.21,0,0,0.52
22Month,0,0,0,0,0.27
