stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Stromal
24hpf,0,0,0,1,6,0,0
72hpf,0,0,0,0,1.41,0,0
21Day,0.37,0,0,0,0,0,0.37
3Month,0.83,0,0.1,0.31,0,0,0
22Month,0.96,0.14,0,0.55,0,0.14,0
