stage,Epithelial,Erythroid,Germ,Immune,Neuron,Secretory
24hpf,1,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0
21Day,1.48,0.37,0,0,0,0.37
3Month,1.46,0,5.62,0.21,0,0.52
22Month,0,0,0.27,0.14,0,0
