stage,Epithelial,Germ,Neuron,Other,Stromal
72hpf,0.85,0,0.28,0,0
21Day,1.11,0,0.37,0,0.37
3Month,0.94,0.31,0,0,0
22Month,2.87,0,0,0.27,0
