stage,Epithelial,Immune,Neuron,Other,Stromal
24hpf,0,0,1,0,0
72hpf,0.28,0,5.64,0,0.28
21Day,0,0,3.7,0,0.37
22Month,2.46,0.27,0,0.14,0
