stage,Endothelial,Epithelial,Germ,Immune,Muscle,Secretory,Stromal
21Day,0,0.37,0,3.33,0,0,0.37
3Month,0.1,0.73,0,8.01,0.1,0.1,0.42
22Month,0,0.41,0.14,1.37,0,0,0
