stage,Epithelial,Erythroid,Immune,Neuron,Other
24hpf,3,0,0,0,0
72hpf,5.64,0,0,0.28,0
21Day,7.77,0,0,0,0
3Month,0.94,0.1,0.21,0,0
22Month,2.87,0,0.82,0,0.14
