stage,Endothelial,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory
24hpf,1,0,0,0,0,1,0
72hpf,0.28,0.56,0,0,0,0.28,0
21Day,0,0.37,0.37,1.85,0,0,0
3Month,0,2.18,0,0.31,0.1,0,0.1
22Month,0,0,0,0.27,0,0,0.14
