stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Stromal
24hpf,1,1,0,0,16,3
72hpf,0.28,0.28,0.28,0,1.97,0.28
21Day,0,0.37,0,0.37,1.48,0.74
