stage,Epithelial,Immune,Muscle,Neuron
24hpf,8,0,0,0
72hpf,2.54,0,0,0.28
21Day,8.51,0,0.37,1.11
3Month,0.83,0.1,0,0.21
22Month,0.82,0,0,0
