stage,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
72hpf,0.28,0,0,0,0,0,0
21Day,0,0,0,2.22,0.37,0,0
3Month,4.37,0.1,0.62,15.08,0.62,0.31,0.42
22Month,1.09,0,0.27,0.14,0,0,0
