stage,Endothelial,Epithelial,Germ,Immune,Neuron,Secretory,Stromal
72hpf,0,0,0,0.56,0.28,0,0.56
21Day,0,0,0,1.11,0,0,0
3Month,0,0.73,3.43,1.25,0,0.1,0.21
22Month,0.14,3.42,0,7.79,0,0.14,0
