stage,Epithelial,Erythroid,Germ,Muscle,Neuron,Other,Stromal
24hpf,2,0,0,0,6,1,1
72hpf,0.56,0.28,0,0,3.66,0,0.28
21Day,0.37,0,0.37,0.37,2.22,0,0.37
