stage,Epithelial,Germ,Immune,Muscle,Neuron,Secretory
21Day,1.11,0,0,1.48,0,0
3Month,3.22,0,0.52,28.6,0.1,0.21
22Month,3.42,0.14,0.14,25.14,0.14,0
