stage,Epithelial,Erythroid,Germ,Immune,Neuron,Other,Secretory,Stromal
72hpf,4.23,0,0,0,0,0,0,0.56
21Day,8.88,0.37,0,0.37,0.37,0,0,0
3Month,1.35,0,0.1,0.62,0,0,0,0.1
22Month,5.06,0,0,0.68,0.14,0.14,0.27,1.09
