stage,Endothelial,Epithelial,Erythroid,Muscle,Neuron,Secretory,Stromal
24hpf,0,1,0,1,10,0,1
72hpf,0,0.56,0.28,0.28,11.56,0,3.1
21Day,0.37,0,0,1.85,1.85,0.37,1.85
22Month,0.14,0.55,0,0,0,0,0.27
