stage,Endothelial,Epithelial,Germ,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,0,0,0,0,1
72hpf,0,0.85,0,0.28,3.38,0.28,0,0.28
21Day,0,0,0,0,0.74,0,0,0.74
3Month,0.31,1.14,11.44,0.1,0,0,0.1,0.21
