stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,0,0,3,2,0,0
72hpf,0.28,0,0,0,0.28,0.28,0,1.13
21Day,0,0.74,0.37,0,1.11,0,0,1.48
3Month,0,0.94,0,0.21,0.42,0,0.21,0.31
22Month,0,0.82,0,0,0,0.14,0,0
