stage,Endothelial,Epithelial,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,0,0,7,0,0,0,0
72hpf,0,0.28,0,0,0.28,0,0
21Day,0,0.37,3.7,0.74,0.74,0.74,0
3Month,0.83,2.39,9.67,4.78,0,1.25,0.21
22Month,0.27,2.32,10.11,5.19,0.14,0.82,0.55
