stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Neuron,Stromal
24hpf,0,0,0,0,2,0,2,1
72hpf,0,0.85,0,0,0,0.28,1.13,0
21Day,0,2.22,0.74,0,1.11,0,1.48,0.74
3Month,0.1,0.52,0,0.1,0.31,0.1,0,0.1
22Month,0,0.27,0,0,0.14,0,0,0
