stage,Epithelial,Muscle,Neuron,Other,Stromal
24hpf,0,0,2,0,0
72hpf,0.28,0.56,1.13,0,0.28
21Day,1.11,0.37,0,0,1.11
22Month,0.14,0,0,0.14,0
