stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Secretory,Stromal
24hpf,2,0,0,0,2,0,0
72hpf,0.28,0,0.28,0.85,3.66,0,0.85
21Day,3.33,0.74,1.11,0,2.59,0,0.74
3Month,0.1,0,0.1,0,0,0.1,0
22Month,1.09,0,0,0,0,0,0
