stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Secretory,Stromal
24hpf,1,0,0,0,2,0,0,3
72hpf,1.97,0.28,0,0.85,20.86,0,0,10.99
21Day,3.33,0.74,0,2.22,16.28,0,0.74,12.95
3Month,0.21,0,0.21,0,0,0,0,0.21
22Month,2.6,0,0.27,0,0,0.14,0,0.68
