stage,Epithelial,Erythroid,Germ,Immune,Muscle,Secretory,Stromal
72hpf,2.54,0,0,0,0,0,0
21Day,3.7,0.37,0,0,0.37,0.37,0.37
3Month,5.82,0,0.1,0.1,0,0,0.1
