stage,Epithelial,Erythroid,Immune,Muscle,Neuron,Other,Stromal
72hpf,0,0,0,0.28,5.64,0,1.13
21Day,1.11,0.37,0.37,0,4.07,0,0.74
22Month,0.14,0,0,0,0,0.14,0
