stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Secretory,Stromal
24hpf,0,0,0,0,0,0,1
72hpf,0.28,0.56,0,0,0,0,0.28
21Day,0,0,0.37,0,0,0.37,0.37
3Month,0.1,1.14,0,0.21,1.04,0,0.21
22Month,0,0.27,0.14,0,0.41,0,0
