stage,Epithelial,Germ,Immune,Muscle,Neuron,Other,Stromal
24hpf,1,0,0,0,4,0,0
72hpf,0.85,0,0,0,0.56,0,0
21Day,1.11,0,0,0.37,0.74,0,1.11
3Month,0.42,0.21,0.1,0.1,0,0,0.1
22Month,0.27,0,0.14,0,0,0.14,0
