stage,Endothelial,Epithelial,Erythroid,Germ,Muscle,Neuron,Secretory,Stromal
72hpf,0,0,0,0,0,0.85,0,0.28
21Day,0,0,0.74,0,0,0,0,0
3Month,0.1,0.1,0,2.39,0.1,0,0.1,0
