stage,Epithelial,Erythroid,Germ,Neuron,Other,Stromal
72hpf,0.28,0,0,5.07,0,0
21Day,0,1.11,0,3.7,0,0.37
3Month,0.31,0,0.62,0,0,0.42
22Month,0.55,0,0.14,0,0.14,0.14
