stage,Epithelial,Erythroid,Germ,Neuron,Secretory,Stromal
24hpf,0,0,0,9,0,2
72hpf,0.28,0.56,0,3.38,0,0
21Day,0.74,1.11,0,0.37,0.37,1.11
3Month,0.21,0,0.31,0,0,0
