stage,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Stromal
72hpf,0,0.28,0,0,0,0,0
21Day,2.22,0.37,0,0.74,0,0,0
3Month,8.11,0.21,1.66,5.3,0.31,0,0.1
22Month,8.06,0,0.82,4.65,0.41,0.41,0.41
