stage,Endothelial,Epithelial,Immune,Neuron,Secretory,Stromal
21Day,0,0.37,0,0.37,0,0.37
3Month,0,0.1,0.31,0.21,0,0
22Month,0.14,2.32,0.41,0,0.14,0.55
