stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Muscle,Other,Secretory,Stromal
21Day,0,1.48,0,0,0,0,0,0,0
3Month,0.21,16.54,0.1,0.94,0.94,0.42,0,0.21,0.62
22Month,0,2.19,0,0,0.27,0.14,0.27,0,0.14
