stage,Epithelial,Erythroid,Germ,Immune,Secretory,Stromal
24hpf,0,0,0,2,0,0
72hpf,0.28,0,0,0.28,0,0
21Day,0,0,0,1.48,0,0.37
3Month,0.62,0.1,0.1,4.78,0.1,0
22Month,1.78,0,0,11.21,0,0.14
