stage,Epithelial,Erythroid,Immune,Neuron,Other,Stromal
72hpf,0,0.28,0,0.28,0,0.28
21Day,1.48,0.37,2.59,0,0,0.37
3Month,1.04,0,0.73,0,0,0
22Month,0.68,0,0.41,0,0.14,0
