stage,Epithelial,Germ,Immune,Neuron,Other,Secretory
72hpf,0,0,0,4.51,0,0
21Day,0,0,0.74,2.96,0,0
3Month,0.21,0.73,0.1,0.1,0,0.21
22Month,1.09,0,0.14,0.27,0.14,0
