stage,Endothelial,Epithelial,Germ,Immune,Neuron,Other
24hpf,0,0,0,0,1,0
21Day,0,0.74,0,1.11,0,0
3Month,0,0,0.1,0.83,0,0
22Month,0.14,2.19,0,0,0,0.14
