stage,Endothelial,Epithelial,Erythroid,Germ,Immune,Other,Secretory
72hpf,0,0,0,0,0.56,0,0
21Day,0,0,0,0,1.11,0,0
3Month,0,0.31,0.1,0,0.94,0,0.1
22Month,0.14,1.23,0,0.14,1.5,0.14,0
