stage,Epithelial,Muscle,Neuron,Other,Secretory,Stromal
72hpf,0,0,5.92,0,0,0.56
21Day,0,0.37,1.85,0,0.37,0.37
3Month,0.42,0,0,0,0.1,0.1
22Month,0.68,0,0,0.14,0,0
