stage,Epithelial,Germ,Muscle,Neuron,Other,Secretory,Stromal
24hpf,0,0,0,4,1,1,0
72hpf,0.85,0,0.28,22.27,0,0.28,0.56
21Day,0.37,0,0,4.44,0,0,0.37
3Month,0.1,0.21,0,0,0,0,0
22Month,0.27,0,0,0.14,0,0,0
